	trial	number_sequences	introductions	community_status	mean_cluster_size
0	5	20	7	over30	2.857142857142857
0	5	9	5	over30	1.8
0	6	9	6	over30	1.5
0	7	9	7	over30	1.2857142857142858
0	8	9	5	over30	1.8
0	9	9	6	over30	1.5
0	10	20	6	over30	3.3333333333333335
0	1	20	9	over30	2.2222222222222223
0	2	20	7	over30	2.857142857142857
0	3	20	8	over30	2.5
0	4	20	9	over30	2.2222222222222223
0	2	14	7	over30	2.0
0	3	14	7	over30	2.0
0	4	14	8	over30	1.75
0	5	14	6	over30	2.3333333333333335
0	6	14	6	over30	2.3333333333333335
0	7	14	9	over30	1.5555555555555556
0	3	2	2	over30	1.0
0	4	2	2	over30	1.0
0	5	2	2	over30	1.0
0	6	2	1	over30	2.0
0	7	2	1	over30	2.0
0	8	2	1	over30	2.0
0	2	5	2	over30	2.5
0	3	5	2	over30	2.5
0	4	5	4	over30	1.25
0	5	5	3	over30	1.6666666666666667
0	6	5	2	over30	2.5
0	2	22	9	over30	2.4444444444444446
0	4	23	7	over30	3.2857142857142856
0	9	23	10	over30	2.3
0	9	2	1	over30	2.0
0	5	3	3	over30	1.0
0	1	5	5	over30	1.0
0	8	6	4	over30	1.5
0	3	17	7	over30	2.4285714285714284
0	4	17	7	over30	2.4285714285714284
0	5	17	7	over30	2.4285714285714284
0	6	17	9	over30	1.8888888888888888
0	7	17	4	over30	4.25
0	8	17	8	over30	2.125
0	9	17	8	over30	2.125
0	10	18	6	over30	3.0
0	2	12	7	over30	1.7142857142857142
0	3	12	5	over30	2.4
0	4	12	3	over30	4.0
0	5	12	4	over30	3.0
0	6	12	6	over30	2.0
0	5	23	7	over30	3.2857142857142856
0	6	23	9	over30	2.5555555555555554
0	7	23	6	over30	3.8333333333333335
0	8	23	10	over30	2.3
0	5	7	4	over30	1.75
0	6	7	5	over30	1.4
0	7	7	3	over30	2.3333333333333335
0	8	7	5	over30	1.4
0	9	7	5	over30	1.4
0	10	8	6	over30	1.3333333333333333
0	1	8	4	over30	2.0
0	7	21	10	over30	2.1
0	8	21	8	over30	2.625
0	9	21	9	over30	2.3333333333333335
0	10	22	9	over30	2.4444444444444446
0	1	22	8	over30	2.75
0	9	18	6	over30	3.0
0	10	19	9	over30	2.111111111111111
0	1	19	8	over30	2.375
0	2	19	9	over30	2.111111111111111
0	3	19	7	over30	2.7142857142857144
0	4	19	9	over30	2.111111111111111
0	8	15	6	over30	2.5
0	9	15	7	over30	2.142857142857143
0	10	16	9	over30	1.7777777777777777
0	1	16	9	over30	1.7777777777777777
0	2	16	5	over30	3.2
0	3	16	6	over30	2.6666666666666665
0	4	16	7	over30	2.2857142857142856
0	7	12	8	over30	1.5
0	8	12	5	over30	2.4
0	9	12	6	over30	2.0
0	10	13	7	over30	1.8571428571428572
0	1	13	7	over30	1.8571428571428572
0	2	13	8	over30	1.625
