	trial	number_sequences	introductions	community_status	mean_cluster_size
0	3	9	4	marshallese	2.25
0	4	9	1	marshallese	9.0
0	5	9	4	marshallese	2.25
0	6	9	3	marshallese	3.0
0	7	9	3	marshallese	3.0
0	8	9	3	marshallese	3.0
0	9	9	4	marshallese	2.25
0	9	34	3	marshallese	11.333333333333334
0	10	35	1	marshallese	35.0
0	1	35	4	marshallese	8.75
0	2	35	1	marshallese	35.0
0	3	35	2	marshallese	17.5
0	4	35	2	marshallese	17.5
0	6	45	2	marshallese	22.5
0	7	45	2	marshallese	22.5
0	8	45	3	marshallese	15.0
0	9	45	2	marshallese	22.5
0	10	46	3	marshallese	15.333333333333334
0	1	46	2	marshallese	23.0
0	5	1	1	marshallese	1.0
0	6	1	1	marshallese	1.0
0	7	1	1	marshallese	1.0
0	8	1	1	marshallese	1.0
0	9	1	1	marshallese	1.0
0	10	20	1	marshallese	20.0
0	1	20	3	marshallese	6.666666666666667
0	2	20	4	marshallese	5.0
0	4	26	4	marshallese	6.5
0	5	26	5	marshallese	5.2
0	6	26	4	marshallese	6.5
0	7	26	5	marshallese	5.2
0	8	26	1	marshallese	26.0
0	9	26	1	marshallese	26.0
0	3	50	2	marshallese	25.0
0	9	50	2	marshallese	25.0
0	9	53	1	marshallese	53.0
0	1	55	4	marshallese	13.75
0	7	6	4	marshallese	1.5
0	8	7	4	marshallese	1.75
0	3	8	3	marshallese	2.6666666666666665
0	4	54	2	marshallese	27.0
0	5	54	2	marshallese	27.0
0	6	54	2	marshallese	27.0
0	7	54	3	marshallese	18.0
0	8	54	3	marshallese	18.0
0	9	54	3	marshallese	18.0
0	10	55	4	marshallese	13.75
0	2	3	2	marshallese	1.5
0	3	3	2	marshallese	1.5
0	4	3	2	marshallese	1.5
0	5	3	1	marshallese	3.0
0	6	3	1	marshallese	3.0
0	7	3	2	marshallese	1.5
0	8	3	2	marshallese	1.5
0	8	14	5	marshallese	2.8
0	9	14	6	marshallese	2.3333333333333335
0	10	15	4	marshallese	3.75
0	1	15	5	marshallese	3.0
0	2	15	5	marshallese	3.0
0	3	15	1	marshallese	15.0
0	4	5	4	marshallese	1.25
0	5	5	3	marshallese	1.6666666666666667
0	6	5	4	marshallese	1.25
0	7	5	3	marshallese	1.6666666666666667
0	8	5	2	marshallese	2.5
0	10	37	3	marshallese	12.333333333333334
0	1	37	3	marshallese	12.333333333333334
0	2	37	2	marshallese	18.5
0	3	37	2	marshallese	18.5
0	10	4	3	marshallese	1.3333333333333333
0	1	4	2	marshallese	2.0
0	2	4	3	marshallese	1.3333333333333333
0	3	4	3	marshallese	1.3333333333333333
0	4	4	2	marshallese	2.0
0	5	4	1	marshallese	4.0
0	6	4	2	marshallese	2.0
0	7	4	2	marshallese	2.0
0	8	42	3	marshallese	14.0
0	9	42	2	marshallese	21.0
0	10	43	6	marshallese	7.166666666666667
0	1	43	3	marshallese	14.333333333333334
0	2	43	2	marshallese	21.5
0	3	43	1	marshallese	43.0
0	4	43	4	marshallese	10.75
0	1	2	2	marshallese	1.0
0	2	2	2	marshallese	1.0
0	3	2	2	marshallese	1.0
0	4	2	2	marshallese	1.0
0	5	2	2	marshallese	1.0
0	6	2	1	marshallese	2.0
0	3	22	1	marshallese	22.0
0	4	22	6	marshallese	3.6666666666666665
0	5	22	2	marshallese	11.0
0	6	22	5	marshallese	4.4
0	7	22	2	marshallese	11.0
0	4	12	4	marshallese	3.0
0	5	12	2	marshallese	6.0
0	6	12	2	marshallese	6.0
0	7	12	2	marshallese	6.0
0	4	18	2	marshallese	9.0
0	5	18	2	marshallese	9.0
0	6	18	4	marshallese	4.5
0	7	18	1	marshallese	18.0
0	8	18	7	marshallese	2.5714285714285716
0	9	18	2	marshallese	9.0
0	5	51	3	marshallese	17.0
0	6	51	3	marshallese	17.0
0	7	51	2	marshallese	25.5
0	8	51	1	marshallese	51.0
0	9	51	2	marshallese	25.5
0	10	52	2	marshallese	26.0
0	1	52	4	marshallese	13.0
0	2	52	3	marshallese	17.333333333333332
0	2	7	2	marshallese	3.5
0	3	7	1	marshallese	7.0
0	4	7	3	marshallese	2.3333333333333335
0	5	7	2	marshallese	3.5
0	6	7	4	marshallese	1.75
0	7	7	2	marshallese	3.5
0	7	55	3	marshallese	18.333333333333332
0	8	55	3	marshallese	18.333333333333332
0	9	55	3	marshallese	18.333333333333332
0	10	56	3	marshallese	18.666666666666668
0	1	56	2	marshallese	28.0
0	2	56	2	marshallese	28.0
0	3	56	2	marshallese	28.0
0	5	48	2	marshallese	24.0
0	6	48	2	marshallese	24.0
0	7	48	1	marshallese	48.0
0	8	48	2	marshallese	24.0
0	9	48	3	marshallese	16.0
0	10	49	2	marshallese	24.5
0	1	32	2	marshallese	16.0
0	2	32	2	marshallese	16.0
0	3	32	1	marshallese	32.0
0	4	32	2	marshallese	16.0
0	5	32	6	marshallese	5.333333333333333
0	6	32	1	marshallese	32.0
0	7	32	6	marshallese	5.333333333333333
0	8	32	5	marshallese	6.4
0	9	23	1	marshallese	23.0
0	10	24	1	marshallese	24.0
0	1	24	1	marshallese	24.0
0	2	24	2	marshallese	12.0
0	3	24	5	marshallese	4.8
0	4	24	1	marshallese	24.0
0	9	27	6	marshallese	4.5
0	10	28	6	marshallese	4.666666666666667
0	1	28	5	marshallese	5.6
0	2	28	7	marshallese	4.0
0	3	28	3	marshallese	9.333333333333334
0	4	28	1	marshallese	28.0
0	5	28	3	marshallese	9.333333333333334
0	6	41	3	marshallese	13.666666666666666
0	7	41	3	marshallese	13.666666666666666
0	8	41	3	marshallese	13.666666666666666
0	9	41	2	marshallese	20.5
0	1	38	3	marshallese	12.666666666666666
0	2	38	2	marshallese	19.0
0	3	38	1	marshallese	38.0
0	4	38	3	marshallese	12.666666666666666
0	5	38	2	marshallese	19.0
0	6	38	2	marshallese	19.0
0	7	38	7	marshallese	5.428571428571429
0	2	25	5	marshallese	5.0
0	8	27	7	marshallese	3.857142857142857
0	10	29	3	marshallese	9.666666666666666
0	3	30	6	marshallese	5.0
0	10	32	4	marshallese	8.0
0	2	34	3	marshallese	11.333333333333334
0	5	36	2	marshallese	18.0
0	10	21	5	marshallese	4.2
0	1	21	2	marshallese	10.5
0	2	21	6	marshallese	3.5
0	3	21	6	marshallese	3.5
0	4	21	1	marshallese	21.0
0	5	21	6	marshallese	3.5
0	2	17	6	marshallese	2.8333333333333335
0	3	17	3	marshallese	5.666666666666667
0	4	17	4	marshallese	4.25
0	5	17	4	marshallese	4.25
0	7	10	4	marshallese	2.5
0	8	10	3	marshallese	3.3333333333333335
0	9	10	4	marshallese	2.5
0	10	11	4	marshallese	2.75
0	1	11	4	marshallese	2.75
0	2	11	4	marshallese	2.75
0	3	11	5	marshallese	2.2
0	10	36	3	marshallese	12.0
0	1	36	3	marshallese	12.0
0	2	36	2	marshallese	18.0
0	3	36	2	marshallese	18.0
0	4	36	5	marshallese	7.2
0	5	13	3	marshallese	4.333333333333333
0	6	13	5	marshallese	2.6
0	7	13	4	marshallese	3.25
0	8	13	1	marshallese	13.0
0	9	13	6	marshallese	2.1666666666666665
0	10	14	5	marshallese	2.8
0	1	14	2	marshallese	7.0
0	9	52	4	marshallese	13.0
0	10	53	1	marshallese	53.0
0	1	53	2	marshallese	26.5
0	2	53	2	marshallese	26.5
0	3	53	2	marshallese	26.5
0	4	53	3	marshallese	17.666666666666668
0	7	19	7	marshallese	2.7142857142857144
0	8	19	4	marshallese	4.75
0	9	19	1	marshallese	19.0
0	10	1	1	marshallese	1.0
0	1	1	1	marshallese	1.0
0	2	1	1	marshallese	1.0
0	3	1	1	marshallese	1.0
0	4	1	1	marshallese	1.0
0	4	30	2	marshallese	15.0
0	5	30	1	marshallese	30.0
0	6	30	1	marshallese	30.0
0	7	30	6	marshallese	5.0
0	8	30	2	marshallese	15.0
0	9	30	4	marshallese	7.5
0	10	31	2	marshallese	15.5
0	1	31	2	marshallese	15.5
0	4	23	6	marshallese	3.8333333333333335
0	5	23	1	marshallese	23.0
0	6	23	1	marshallese	23.0
0	7	23	6	marshallese	3.8333333333333335
0	8	23	1	marshallese	23.0
0	5	43	2	marshallese	21.5
0	6	43	2	marshallese	21.5
0	7	43	2	marshallese	21.5
0	8	43	3	marshallese	14.333333333333334
0	9	43	2	marshallese	21.5
0	10	44	2	marshallese	22.0
0	1	44	2	marshallese	22.0
0	2	44	4	marshallese	11.0
0	10	47	4	marshallese	11.75
0	1	47	2	marshallese	23.5
0	2	47	3	marshallese	15.666666666666666
0	3	47	3	marshallese	15.666666666666666
0	4	47	2	marshallese	23.5
0	5	47	3	marshallese	15.666666666666666
0	6	47	3	marshallese	15.666666666666666
0	4	57	2	marshallese	28.5
0	5	57	2	marshallese	28.5
0	6	57	3	marshallese	19.0
0	7	57	2	marshallese	28.5
0	8	57	2	marshallese	28.5
0	4	8	3	marshallese	2.6666666666666665
0	5	8	2	marshallese	4.0
0	6	8	5	marshallese	1.6
0	7	8	4	marshallese	2.0
0	4	50	2	marshallese	25.0
0	5	50	1	marshallese	50.0
0	6	50	2	marshallese	25.0
0	7	50	2	marshallese	25.0
0	8	50	2	marshallese	25.0
0	3	25	1	marshallese	25.0
0	4	25	5	marshallese	5.0
0	5	25	1	marshallese	25.0
0	6	25	1	marshallese	25.0
0	7	25	2	marshallese	12.5
0	6	33	2	marshallese	16.5
0	7	33	2	marshallese	16.5
0	8	33	1	marshallese	33.0
0	9	33	1	marshallese	33.0
0	10	34	3	marshallese	11.333333333333334
0	1	34	1	marshallese	34.0
0	1	49	2	marshallese	24.5
0	2	49	4	marshallese	12.25
0	3	49	2	marshallese	24.5
0	4	49	3	marshallese	16.333333333333332
0	5	49	1	marshallese	49.0
0	6	49	2	marshallese	24.5
0	7	49	4	marshallese	12.25
0	8	49	2	marshallese	24.5
0	9	49	3	marshallese	16.333333333333332
0	9	5	1	marshallese	5.0
0	10	6	3	marshallese	2.0
0	1	6	3	marshallese	2.0
0	2	6	2	marshallese	3.0
0	3	6	3	marshallese	2.0
0	4	6	3	marshallese	2.0
0	5	6	4	marshallese	1.5
0	6	6	4	marshallese	1.5
0	1	42	3	marshallese	14.0
0	2	42	3	marshallese	14.0
0	3	42	6	marshallese	7.0
0	4	42	3	marshallese	14.0
0	5	42	2	marshallese	21.0
0	6	42	3	marshallese	14.0
0	7	42	3	marshallese	14.0
0	6	39	2	marshallese	19.5
0	7	39	7	marshallese	5.571428571428571
0	8	39	3	marshallese	13.0
0	9	39	3	marshallese	13.0
0	10	3	1	marshallese	3.0
0	1	29	6	marshallese	4.833333333333333
0	2	29	5	marshallese	5.8
0	3	29	1	marshallese	29.0
0	4	29	3	marshallese	9.666666666666666
0	5	29	3	marshallese	9.666666666666666
0	4	44	2	marshallese	22.0
0	5	44	1	marshallese	44.0
0	6	44	4	marshallese	11.0
0	7	44	4	marshallese	11.0
0	8	44	1	marshallese	44.0
0	9	44	6	marshallese	7.333333333333333
0	10	45	2	marshallese	22.5
0	4	40	3	marshallese	13.333333333333334
0	5	40	2	marshallese	20.0
0	6	40	2	marshallese	20.0
0	7	40	1	marshallese	40.0
0	8	40	8	marshallese	5.0
0	4	56	3	marshallese	18.666666666666668
0	5	56	2	marshallese	28.0
0	6	56	2	marshallese	28.0
0	7	56	3	marshallese	18.666666666666668
0	8	56	2	marshallese	28.0
0	9	56	3	marshallese	18.666666666666668
0	8	38	2	marshallese	19.0
0	1	3	2	marshallese	1.5
0	10	42	2	marshallese	21.0
0	3	44	3	marshallese	14.666666666666666
0	4	37	3	marshallese	12.333333333333334
0	7	2	1	marshallese	2.0
0	8	2	2	marshallese	1.0
0	9	2	2	marshallese	1.0
0	10	30	2	marshallese	15.0
0	1	30	2	marshallese	15.0
0	2	30	2	marshallese	15.0
0	9	15	4	marshallese	3.75
0	10	16	5	marshallese	3.2
0	1	16	2	marshallese	8.0
0	2	16	4	marshallese	4.0
0	3	16	3	marshallese	5.333333333333333
0	10	54	3	marshallese	18.0
0	1	54	1	marshallese	54.0
0	2	54	2	marshallese	27.0
0	3	54	2	marshallese	27.0
0	10	27	6	marshallese	4.5
0	1	27	2	marshallese	13.5
0	2	27	6	marshallese	4.5
0	3	27	2	marshallese	13.5
0	4	27	5	marshallese	5.4
0	5	27	3	marshallese	9.0
0	6	27	5	marshallese	5.4
0	7	27	4	marshallese	6.75
0	4	11	1	marshallese	11.0
0	3	12	4	marshallese	3.0
0	7	14	5	marshallese	2.8
0	4	15	5	marshallese	3.0
0	1	17	2	marshallese	8.5
0	6	21	2	marshallese	10.5
0	2	22	5	marshallese	4.4
0	8	22	6	marshallese	3.6666666666666665
0	9	11	4	marshallese	2.75
0	10	12	1	marshallese	12.0
0	1	12	3	marshallese	4.0
0	2	12	4	marshallese	3.0
0	6	17	4	marshallese	4.25
0	7	17	3	marshallese	5.666666666666667
0	8	17	5	marshallese	3.4
0	9	17	1	marshallese	17.0
0	10	18	5	marshallese	3.6
0	1	18	3	marshallese	6.0
0	2	18	2	marshallese	9.0
0	3	18	5	marshallese	3.6
0	7	47	4	marshallese	11.75
0	8	47	3	marshallese	15.666666666666666
0	9	47	1	marshallese	47.0
0	10	48	2	marshallese	24.0
0	1	48	2	marshallese	24.0
0	2	48	2	marshallese	24.0
0	3	48	2	marshallese	24.0
0	4	48	3	marshallese	16.0
0	3	20	4	marshallese	5.0
0	4	20	3	marshallese	6.666666666666667
0	5	20	3	marshallese	6.666666666666667
0	6	20	3	marshallese	6.666666666666667
0	7	20	2	marshallese	10.0
0	8	20	5	marshallese	4.0
0	9	20	6	marshallese	3.3333333333333335
0	5	37	2	marshallese	18.5
0	6	37	1	marshallese	37.0
0	7	37	2	marshallese	18.5
0	8	37	2	marshallese	18.5
0	9	37	2	marshallese	18.5
0	10	38	2	marshallese	19.0
0	2	14	6	marshallese	2.3333333333333335
0	3	14	6	marshallese	2.3333333333333335
0	4	14	3	marshallese	4.666666666666667
0	5	14	4	marshallese	3.5
0	6	14	5	marshallese	2.8
0	2	31	3	marshallese	10.333333333333334
0	3	31	2	marshallese	15.5
0	4	31	5	marshallese	6.2
0	5	31	2	marshallese	15.5
0	6	31	1	marshallese	31.0
0	7	31	6	marshallese	5.166666666666667
0	8	31	6	marshallese	5.166666666666667
0	9	31	7	marshallese	4.428571428571429
0	10	51	3	marshallese	17.0
0	1	51	3	marshallese	17.0
0	2	51	7	marshallese	7.285714285714286
0	3	51	3	marshallese	17.0
0	4	51	2	marshallese	25.5
0	5	24	7	marshallese	3.4285714285714284
0	6	24	2	marshallese	12.0
0	7	24	2	marshallese	12.0
0	8	24	2	marshallese	12.0
0	9	24	4	marshallese	6.0
0	10	25	5	marshallese	5.0
0	1	25	2	marshallese	12.5
0	8	12	5	marshallese	2.4
0	9	12	3	marshallese	4.0
0	10	13	1	marshallese	13.0
0	1	13	4	marshallese	3.25
0	2	13	5	marshallese	2.6
0	3	13	1	marshallese	13.0
0	4	13	1	marshallese	13.0
