	trial	number_sequences	introductions	community_status	mean_cluster_size
0	1	9	5	unknown	1.8
0	2	9	3	unknown	3.0
0	3	9	4	unknown	2.25
0	4	9	4	unknown	2.25
0	5	9	4	unknown	2.25
0	6	9	5	unknown	1.8
0	7	9	4	unknown	2.25
0	8	9	4	unknown	2.25
0	9	9	5	unknown	1.8
0	3	22	8	unknown	2.75
0	4	22	8	unknown	2.75
0	5	22	8	unknown	2.75
0	6	22	10	unknown	2.2
0	7	22	9	unknown	2.4444444444444446
0	8	22	8	unknown	2.75
0	9	22	9	unknown	2.4444444444444446
0	2	16	4	unknown	4.0
0	3	16	6	unknown	2.6666666666666665
0	4	16	9	unknown	1.7777777777777777
0	5	16	6	unknown	2.6666666666666665
0	6	16	8	unknown	2.0
0	9	31	11	unknown	2.8181818181818183
0	10	32	7	unknown	4.571428571428571
0	1	32	11	unknown	2.909090909090909
0	2	32	12	unknown	2.6666666666666665
0	3	32	8	unknown	4.0
0	10	27	10	unknown	2.7
0	1	27	9	unknown	3.0
0	2	27	3	unknown	9.0
0	3	27	10	unknown	2.7
0	4	27	5	unknown	5.4
0	5	27	10	unknown	2.7
0	6	27	9	unknown	3.0
0	3	28	11	unknown	2.5454545454545454
0	1	29	10	unknown	2.9
0	6	29	9	unknown	3.2222222222222223
0	3	30	7	unknown	4.285714285714286
0	2	31	7	unknown	4.428571428571429
0	8	31	11	unknown	2.8181818181818183
0	4	5	3	unknown	1.6666666666666667
0	6	4	2	unknown	2.0
0	7	4	3	unknown	1.3333333333333333
0	8	4	4	unknown	1.0
0	9	4	2	unknown	2.0
0	10	5	3	unknown	1.6666666666666667
0	1	5	2	unknown	2.5
0	2	5	4	unknown	1.25
0	3	5	3	unknown	1.6666666666666667
0	10	19	10	unknown	1.9
0	1	19	8	unknown	2.375
0	2	19	7	unknown	2.7142857142857144
0	3	19	8	unknown	2.375
0	6	12	6	unknown	2.0
0	7	12	7	unknown	1.7142857142857142
0	8	12	6	unknown	2.0
0	9	12	6	unknown	2.0
0	10	13	6	unknown	2.1666666666666665
0	1	13	7	unknown	1.8571428571428572
0	7	29	10	unknown	2.9
0	8	29	6	unknown	4.833333333333333
0	9	29	8	unknown	3.625
0	10	2	2	unknown	1.0
0	1	2	2	unknown	1.0
0	7	1	1	unknown	1.0
0	8	1	1	unknown	1.0
0	9	1	1	unknown	1.0
