Sample	posterior	likelihood	prior	treeLikelihood.mumps-wa-clade-arkansas_10-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_10-2020-02-03	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_8-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_8-2020-02-03	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_69-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_69-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_69-2020-02-03	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_69-2020-02-03	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	kappa.s:mumps-wa-clade-arkansas_69-2020-02-03	gammaShape.s:mumps-wa-clade-arkansas_69-2020-02-03	clockRate.c:mumps-wa-clade-arkansas_69-2020-02-03	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-031	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-032	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-033	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-034
0	-62853.60329402531	-62768.687282268096	-84.91601175721408	-19784.670467115087	0.94533435872112	2.0724316154854003	1.134826366284988	0.9376052492004119	0	2	4	1	0	-20560.107436674647	1.9320906373317064	6.798507599792199	3.4562894792447336	3.3422181205474653	3	4	5	2	1	-22423.90937847836	2.4857453366941513	16.93769807538874	8.918933538941214	8.018764536447526	5	4	25	28	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.17E-4	0.25	0.25	0.25	0.25
5000	-62489.823750672316	-62394.685651549706	-95.13809912260898	-19763.791588058124	1.0788686171749173	2.430423557276037	0.7399350900704768	1.6904884672055607	3	0	0	5	1	-20524.378748512867	0.5487162956732586	1.8206277731809255	0.26789683121503094	1.5527309419658946	2	0	2	5	1	-22106.51531497871	1.549387417117104	15.435645079696972	7.011980657606207	8.42366442209076	11	10	26	27	1	1.0	1.1311968989933012	0.8127104038032568	1.0	1.4252746699286776	0.6362978493370347	1.0	1.1311968989933012	0.8127104038032568	1.0	1.4252746699286776	0.6362978493370347	1.0	1.1311968989933012	0.8127104038032568	1.0	1.4252746699286776	0.6362978493370347	2.3947131645233553	1.0	3.9606825493731997E-4	0.25828438386415203	0.25	0.25	0.24171561613584794
10000	-62295.86340029671	-62154.25175909507	-141.61164120164065	-19726.66061260076	1.39842944402895	3.7539484780033985	1.3668383377443516	2.3871101402590473	3	1	1	4	1	-20484.17347755165	1.1169145924917423	4.039583579931301	2.4466841587218107	1.5928994212094902	0	2	5	2	0	-21943.41766894266	2.975053704092205	24.833684544195705	12.858982930279737	11.974701613915975	14	13	26	27	1	1.0	2.4721860481225564	1.8081688925084103	1.0	0.6475741348633948	0.7207559264335958	1.0	2.4721860481225564	1.8081688925084103	1.0	0.6475741348633948	0.7207559264335958	1.0	2.4721860481225564	1.8081688925084103	1.0	0.6475741348633948	0.7207559264335958	3.4013209254445633	0.6040761096482536	1.8627903518235046E-4	0.25860136689109475	0.25686280457173016	0.2345358285371751	0.25
15000	-62057.74367803363	-62011.59286229128	-46.15081574234397	-19699.77165624685	1.4823256687173265	3.0085012289060877	2.2849039958386874	0.7235972330674003	3	6	5	0	0	-20458.07805398249	0.6695756010470576	2.387812336817209	1.669493644686162	0.7183186921310472	3	6	6	1	0	-21853.74315206195	1.3089406561636248	14.686555298686558	7.663538215202765	7.023017083483793	19	35	42	11	0	1.0	0.7238920404556304	2.048690006443421	1.0	2.4700459951578932	3.82921686919119	1.0	0.7238920404556304	2.048690006443421	1.0	2.4700459951578932	3.82921686919119	1.0	0.7238920404556304	2.048690006443421	1.0	2.4700459951578932	3.82921686919119	5.210638072209566	0.5701120752469324	3.8451668239001337E-4	0.26377527040338117	0.23730489278507116	0.24376582237312797	0.25515401443841973
20000	-61960.587824457376	-61914.188441578	-46.399382879374315	-19673.88487172727	1.0581137139053598	2.697445388871543	2.1744462340221666	0.5229991548493766	3	4	4	1	1	-20432.84513951118	0.7173386929352223	2.79707464883497	1.9589561497882686	0.8381184990467017	2	6	7	0	0	-21807.458430339546	1.1958208264260315	13.43428709174145	6.6738687938329715	6.76041829790848	14	31	43	10	0	1.0	0.6875132534771732	2.743009196122772	1.0	1.4845935489059798	5.404657826173166	1.0	0.6875132534771732	2.743009196122772	1.0	1.4845935489059798	5.404657826173166	1.0	0.6875132534771732	2.743009196122772	1.0	1.4845935489059798	5.404657826173166	5.93059570548573	0.9741847159296891	3.587890763229376E-4	0.26414189463372995	0.2374693667779451	0.2334166311794415	0.2649721074088835
25000	-61923.57154433518	-61889.53361965385	-34.03792468133257	-19670.787060933777	1.1730466176342194	2.5913603639207805	2.2037969100127968	0.38756345390798336	2	5	5	0	0	-20427.558896804207	0.7022190954447336	2.1461410324654793	1.8498618121841086	0.29627922028137077	1	5	7	0	0	-21791.18766191586	1.242117235482062	13.074010487679107	7.84858960910204	5.225420878577067	14	36	48	5	0	1.0	0.6375312644357745	1.994263950012038	1.0	2.4836036891833535	7.820573452128338	1.0	0.6375312644357745	1.994263950012038	1.0	2.4836036891833535	7.820573452128338	1.0	0.6375312644357745	1.994263950012038	1.0	2.4836036891833535	7.820573452128338	5.93059570548573	0.8308432113367307	3.2616136364384675E-4	0.26414189463372995	0.23519658852634084	0.2334166311794415	0.26724488566048776
30000	-61879.64758273876	-61840.38784885124	-39.25973388752022	-19658.56183611604	1.191778767597788	2.6036912599755757	1.8290599676178356	0.7746312923577398	1	4	5	0	0	-20413.999068051224	0.6146751748164266	2.1735634113014823	1.3265272257728773	0.8470361855286055	2	6	7	0	0	-21767.82694468397	1.4839947975460004	13.925430357631102	7.622606801891126	6.302823555739974	14	34	46	7	0	1.0	0.6761530960744088	3.539916830194645	1.0	1.9648871830502554	4.272159088796286	1.0	0.6761530960744088	3.539916830194645	1.0	1.9648871830502554	4.272159088796286	1.0	0.6761530960744088	3.539916830194645	1.0	1.9648871830502554	4.272159088796286	5.93059570548573	0.5096263019218283	3.123456589559692E-4	0.27006914219822536	0.23519658852634084	0.2334166311794415	0.26131763809599234
35000	-62056.85828473166	-61981.07007286178	-75.78821186987334	-19706.909415857186	1.3290044093927798	2.8504349980336574	1.9223820936963607	0.9280529043372971	2	4	4	1	0	-20462.57588476654	0.6834160869112601	2.0654090074559797	1.6427448994845557	0.422664107971424	0	3	6	1	0	-21811.58477223806	2.4498144263919563	17.884506638768833	9.518062552656403	8.36644408611243	12	26	40	13	0	1.0	0.6343108932749728	1.3126842370147662	1.0	1.483190302234917	2.464169093916177	1.0	0.6343108932749728	1.3126842370147662	1.0	1.483190302234917	2.464169093916177	1.0	0.6343108932749728	1.3126842370147662	1.0	1.483190302234917	2.464169093916177	3.7497721981018532	0.673713700179532	3.257589425983484E-4	0.2526414396859938	0.24224601246004102	0.23139951904479766	0.2737130288091676
40000	-61855.23837878906	-61830.60793787216	-24.630440916892276	-19658.37311192305	1.4149873707123368	3.219531909175105	1.8206798912561215	1.3988520179189832	6	9	5	0	0	-20412.576266350967	0.6633324581816267	2.58513389465935	2.0790505507627848	0.5060833438965653	0	4	7	0	0	-21759.65855959814	1.2560042507427809	12.335952834127388	5.840330316395708	6.495622517731684	10	28	44	9	0	1.0	0.4120376611357729	3.3108851740867205	1.0	1.772677394976486	5.008893309957644	1.0	0.4120376611357729	3.3108851740867205	1.0	1.772677394976486	5.008893309957644	1.0	0.4120376611357729	3.3108851740867205	1.0	1.772677394976486	5.008893309957644	4.922844922074969	0.4374945866482385	3.915811625475735E-4	0.27006914219822536	0.24384108439104527	0.22477213531473708	0.26131763809599234
45000	-61938.99784950672	-61837.913724421305	-101.0841250854101	-19660.670846455076	1.267634259374532	2.7084952894961383	1.6135777971608207	1.0949174923353175	1	3	4	1	0	-20417.964353826086	1.025987962346692	4.0916224120000955	2.040362138758034	2.0512602732420624	1	4	6	1	0	-21759.278524140147	1.7127403216897668	18.47678072986929	6.316900191002199	12.159880538867093	22	17	22	31	1	1.0	0.674532575471604	2.0216718436514194	1.0	2.0067016334606604	1.8414967640350102	1.0	0.674532575471604	2.0216718436514194	1.0	2.0067016334606604	1.8414967640350102	1.0	0.674532575471604	2.0216718436514194	1.0	2.0067016334606604	1.8414967640350102	3.6653698313767604	0.041654953426732824	2.61314824113167E-4	0.2741146599707146	0.23530710225336424	0.23662219194098522	0.25395604583493586
