Sample	posterior	likelihood	prior	treeLikelihood.mumps-wa-clade-arkansas_10-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_10-2020-02-03	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_8-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_8-2020-02-03	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_69-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_69-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_69-2020-02-03	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_69-2020-02-03	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	kappa.s:mumps-wa-clade-arkansas_69-2020-02-03	gammaShape.s:mumps-wa-clade-arkansas_69-2020-02-03	clockRate.c:mumps-wa-clade-arkansas_69-2020-02-03	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-031	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-032	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-033	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-034
0	-62969.81698167135	-62858.42529867169	-111.39168299965668	-19829.95589502907	3.612516372852243	11.624132501766242	7.226527167578159	4.397605334188084	6	9	5	0	0	-20578.871218205888	2.836280042876323	11.390828751814599	5.2665148445247105	6.124313907289887	6	6	4	3	1	-22449.59818543673	1.7076999332369063	15.419334001059024	7.245868172886711	8.173465828172313	6	4	25	28	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.17E-4	0.25	0.25	0.25	0.25
5000	-62510.206696426205	-62375.52978959298	-134.67690683322195	-19711.730571318327	1.1211537830177523	2.560862125927405	1.2715351339124759	1.2893269920149288	2	4	4	1	0	-20484.49376318415	0.6516660301888889	2.9377060456130857	1.2962073938554024	1.6414986517576837	1	3	5	2	0	-22179.3054550905	2.6701482347168035	23.2303746411679	10.340267911249246	12.890106729918655	17	10	19	34	0	1.0	1.6379527815796053	1.7812092885558604	1.0	1.170837426175501	1.148121585129516	1.0	1.6379527815796053	1.7812092885558604	1.0	1.170837426175501	1.148121585129516	1.0	1.6379527815796053	1.7812092885558604	1.0	1.170837426175501	1.148121585129516	2.4396123050646796	1.0	3.163089160072708E-4	0.2596268508071783	0.250691557461198	0.24054658368501414	0.24913500804660962
10000	-62387.753608657025	-62283.94540457982	-103.80820407720823	-19706.58630685093	1.1120348035008245	1.7944906475592362	0.8252435553141226	0.9692470922451134	2	4	4	1	0	-20487.148419176563	0.8402339385995946	3.202969747467461	2.141990229644471	1.0609795178229906	0	2	5	2	0	-22090.210678552317	2.0007580178118025	17.58153105052537	8.596869311126381	8.98466173939899	16	14	25	28	1	1.0	2.13558880906961	1.164096932494767	1.0	1.336674482387166	1.4273894450186002	1.0	2.13558880906961	1.164096932494767	1.0	1.336674482387166	1.4273894450186002	1.0	2.13558880906961	1.164096932494767	1.0	1.336674482387166	1.4273894450186002	2.8814663229800157	1.0	4.139639929723173E-4	0.2596268508071783	0.250691557461198	0.24054658368501414	0.24913500804660962
15000	-62185.156240725846	-62089.046340245455	-96.10990048039233	-19667.282671100133	0.9628589232599313	2.425949926735383	0.8006556528058981	1.6252942739294847	3	1	1	4	1	-20443.32855717887	1.2401630454343004	4.131742901640339	1.022207313701157	3.109535587939182	5	3	2	5	1	-21978.43511196645	1.5234240102476277	15.267743514124222	7.858937436815832	7.408806077308391	12	11	26	27	1	1.0	1.6829478431551326	1.3078491136409374	1.0	1.7421202138023053	1.502392722040921	1.0	1.6829478431551326	1.3078491136409374	1.0	1.7421202138023053	1.502392722040921	1.0	1.6829478431551326	1.3078491136409374	1.0	1.7421202138023053	1.502392722040921	2.8814663229800157	0.8271306594406014	3.4674987260790996E-4	0.2646415875134353	0.250691557461198	0.2281152295524172	0.2565516254729495
20000	-62140.03766071365	-62035.34204392747	-104.69561678618226	-19657.365921451135	0.9333014005952954	1.599737912504053	0.7261985089347518	0.8735394035693012	1	1	3	2	1	-20435.543915763497	0.562590818492575	2.0268698981650415	1.2833647780707484	0.7435051200942928	0	2	5	2	0	-21942.43220671284	1.4674695525991135	17.463221001735068	8.22329909829805	9.239921903437018	18	20	29	24	1	1.0	1.6201588772168003	1.9456695529929076	1.0	1.8722051621618419	1.7311952343288652	1.0	1.6201588772168003	1.9456695529929076	1.0	1.8722051621618419	1.7311952343288652	1.0	1.6201588772168003	1.9456695529929076	1.0	1.8722051621618419	1.7311952343288652	2.8814663229800157	0.8271306594406014	4.2390844208594784E-4	0.2646415875134353	0.250691557461198	0.22467655522154276	0.25999029980382393
25000	-62107.25924860174	-62011.99382195441	-95.26542664732374	-19649.96255639939	0.8744697038053953	1.8242780927792972	1.053866449541621	0.7704116432376763	0	2	4	1	0	-20424.770061826865	0.7197700953260382	2.90208106205997	1.6864925211199475	1.2155885409400224	5	8	6	1	0	-21937.26120372816	1.4632438742734066	17.918803253028297	8.449946647113245	9.468856605915057	21	23	29	24	1	1.0	1.2683846943551433	1.3813735195129613	1.0	2.5277210051223586	2.6023183792418094	1.0	1.2683846943551433	1.3813735195129613	1.0	2.5277210051223586	2.6023183792418094	1.0	1.2683846943551433	1.3813735195129613	1.0	2.5277210051223586	2.6023183792418094	3.475075490168387	0.8271306594406014	3.766997573541397E-4	0.2646415875134353	0.2454722347224331	0.22467655522154276	0.26520962254258884
30000	-62423.91083541851	-62219.576344884095	-204.33449053441285	-19746.098541514242	2.504780796854496	5.999506584067786	3.741626903865657	2.25787968020213	2	4	4	1	0	-20527.49992116586	1.4235115207835491	6.149827263935829	2.7446341727724963	3.4051930911633326	4	4	3	4	0	-21945.977882203988	3.474105278410459	41.74579495577588	27.012230209315167	14.733564746460704	22	39	43	10	0	1.0	3.3121082243816695	4.29042741471274	1.0	0.9528608102727923	1.9205701243983053	1.0	3.3121082243816695	4.29042741471274	1.0	0.9528608102727923	1.9205701243983053	1.0	3.3121082243816695	4.29042741471274	1.0	0.9528608102727923	1.9205701243983053	5.278468686240097	0.3430072392695707	1.1587095278343308E-4	0.2515695523527437	0.24899708026460735	0.24891885254827453	0.2505145148343744
35000	-61970.24856801988	-61893.685531353476	-76.56303666640592	-19635.322329421066	1.4838605590020835	3.618079739586287	2.0101278301162973	1.6079519094699901	3	3	3	2	1	-20409.465660612565	1.1113509319796087	3.6277420964331277	1.707859146426244	1.9198829500068835	4	7	6	1	0	-21848.897541319846	1.5343038410321779	16.00924355847878	7.378097038553861	8.631146519924917	20	27	33	20	0	1.0	0.8527198742987058	1.4934943356488302	1.0	3.281609770448616	2.432692909074318	1.0	0.8527198742987058	1.4934943356488302	1.0	3.281609770448616	2.432692909074318	1.0	0.8527198742987058	1.4934943356488302	1.0	3.281609770448616	2.432692909074318	5.079856538109542	0.4585284308454731	2.998517213220871E-4	0.26669268940871865	0.23944312611972746	0.2229670469166567	0.2708971375548972
40000	-61929.90477446179	-61782.6871723486	-147.21760211319912	-19614.24107891239	1.352638985036622	3.862831420307157	2.103761359895615	1.7590700604115421	3	3	2	3	0	-20387.666145578045	1.5802263177424276	6.504283924968635	2.2329454374146462	4.271338487553988	5	2	1	6	1	-21780.779947858162	2.2426871501470487	24.703927901631417	10.466175344906711	14.237752556724706	21	12	18	35	1	1.0	2.4952307136655474	1.7660822563579857	1.0	1.4639876218001604	0.8342392188464868	1.0	2.4952307136655474	1.7660822563579857	1.0	1.4639876218001604	0.8342392188464868	1.0	2.4952307136655474	1.7660822563579857	1.0	1.4639876218001604	0.8342392188464868	3.2809243545102524	0.6692426181787613	1.6910946189186433E-4	0.27686359888872214	0.23573233770032745	0.22417042245802463	0.2632336409529258
45000	-61885.229051903436	-61764.72288344367	-120.50616845976877	-19607.303055083346	1.4172615223305545	3.561736794153995	2.0061271211731775	1.5556096729808178	4	2	1	4	1	-20378.757713728774	1.1439961997480332	4.172219560154422	0.6200612172099533	3.5521583429444687	2	0	2	5	1	-21778.66211463154	2.1722140685468583	21.657431366191418	8.599066927467598	13.058364438723823	19	10	18	35	1	1.0	1.9516033309617482	1.1823399201670068	1.0	2.2991494157539756	0.6236037717844348	1.0	1.9516033309617482	1.1823399201670068	1.0	2.2991494157539756	0.6236037717844348	1.0	1.9516033309617482	1.1823399201670068	1.0	2.2991494157539756	0.6236037717844348	5.3343829096922235	0.6692426181787613	2.613345848497357E-4	0.27686359888872214	0.23573233770032745	0.2170989004614775	0.2703051629494729
