Sample	posterior	likelihood	prior	treeLikelihood.mumps-wa-clade-arkansas_10-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_10-2020-02-03	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_8-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_8-2020-02-03	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_69-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_69-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_69-2020-02-03	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_69-2020-02-03	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	kappa.s:mumps-wa-clade-arkansas_69-2020-02-03	gammaShape.s:mumps-wa-clade-arkansas_69-2020-02-03	clockRate.c:mumps-wa-clade-arkansas_69-2020-02-03	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-031	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-032	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-033	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-034
0	-62998.722997409146	-62876.64985893304	-122.07313847611178	-19802.783320706316	4.85888028672496	10.466481879087222	4.678335284495111	5.788146594592111	5	5	3	2	1	-20586.740072397915	3.4033985621485763	10.465528209107964	2.996264900368303	7.46926330873966	5	4	3	4	1	-22487.126465828802	5.9348121137785705	27.199994849900175	13.062177555429784	14.137817294470384	9	12	30	23	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.090772473148293E-4	0.25	0.25	0.25	0.25
5000	-62507.99266456236	-62381.76741195376	-126.22525260859432	-19720.929977731983	0.9801308311517761	2.3341252989744095	0.24959648866421758	2.0845288103101915	2	0	1	4	1	-20502.214869120588	1.6000321954958645	6.383603352216414	1.9982813289950783	4.385322023221336	5	4	3	4	1	-22158.622565101192	2.070795374980572	20.666410158472868	9.790958779881851	10.87545137859102	17	14	24	29	1	1.0	1.453546700237381	1.5661957144715857	1.0	1.6436123745345403	1.1389481915409645	1.0	1.453546700237381	1.5661957144715857	1.0	1.6436123745345403	1.1389481915409645	1.0	1.453546700237381	1.5661957144715857	1.0	1.6436123745345403	1.1389481915409645	2.0	1.0	2.565699904712111E-4	0.2590008380098151	0.25	0.2442898643499074	0.24670929764027752
10000	-62404.632662965116	-62282.870151502415	-121.7625114627015	-19707.724212890625	1.0177763406366012	2.2600873890772526	0.8903075945166816	1.369779794560571	4	3	2	3	1	-20484.465497679426	0.6403262847948316	2.2407291631486226	0.9321114992780989	1.308617663870524	0	2	5	2	0	-22090.680440932367	1.5062560661737419	19.456986778233027	8.322925747041328	11.134061031191699	16	16	27	26	1	1.0	1.5952615923026277	1.6824996367915213	1.0	1.757123591785908	1.2779726079708353	1.0	1.5952615923026277	1.6824996367915213	1.0	1.757123591785908	1.2779726079708353	1.0	1.5952615923026277	1.6824996367915213	1.0	1.757123591785908	1.2779726079708353	4.8068498870910235	0.5135509676495007	3.472177619935279E-4	0.25570859392515033	0.24429140607484967	0.24254261573956848	0.2574573842604315
15000	-62365.238108561585	-62250.40747824941	-114.83063031216841	-19720.21218888961	1.0210462157236402	2.612400442280562	1.3829017976459481	1.229498644634614	3	5	4	1	0	-20496.134038312404	0.6909391370029956	2.7163294693965643	1.3797435900004422	1.336585879396122	1	2	4	3	0	-22034.0612510474	1.515227143267937	18.057253291919135	7.0550329992720595	11.00222029264708	19	15	23	30	1	1.0	1.5998193521853314	2.081967133673965	1.0	2.5132595661484496	1.852109148607361	1.0	1.5998193521853314	2.081967133673965	1.0	2.5132595661484496	1.852109148607361	1.0	1.5998193521853314	2.081967133673965	1.0	2.5132595661484496	1.852109148607361	3.176263296657751	1.0	3.173537707339783E-4	0.2590008380098151	0.25	0.2442898643499074	0.24670929764027752
20000	-62305.428955639145	-62188.09315374517	-117.33580189397955	-19717.224941204666	1.1094280557008454	2.1287977971065892	0.5354392448296939	1.5933585522768954	5	3	1	4	1	-20505.23070644819	2.3712263102748836	7.347162741963274	2.813637878241166	4.533524863722108	9	6	1	6	1	-21965.63750609231	2.2360126413537236	20.050382094841915	8.918949031286633	11.131433063555287	20	18	24	29	0	1.0	1.9231448289304676	1.7700571514159356	1.0	2.7582087099086587	1.11171742951458	1.0	1.9231448289304676	1.7700571514159356	1.0	2.7582087099086587	1.11171742951458	1.0	1.9231448289304676	1.7700571514159356	1.0	2.7582087099086587	1.11171742951458	4.148101522837576	1.4068090046479846	2.869951846299885E-4	0.2590008380098151	0.25	0.2442898643499074	0.24670929764027752
25000	-62254.03458220351	-62163.719193404446	-90.31538879906391	-19692.837357453514	1.0248739936768816	1.6816852720448745	1.1968550921976777	0.4848301798471969	0	3	5	0	0	-20472.852125095767	0.6227419894544598	2.854074374325185	2.1214265485035764	0.7326478258216088	2	6	7	0	0	-21998.02971085516	1.81286534341188	17.86501950731572	7.32248819444284	10.542531312872878	22	22	26	27	0	1.0	0.6898855222180522	1.6987522057727371	1.0	2.818238180488432	3.2382057122026655	1.0	0.6898855222180522	1.6987522057727371	1.0	2.818238180488432	3.2382057122026655	1.0	0.6898855222180522	1.6987522057727371	1.0	2.818238180488432	3.2382057122026655	4.863955235514873	0.43521083361314505	3.0153722716686713E-4	0.25570859392515033	0.23674322130942005	0.24254261573956848	0.26500556902586114
30000	-62199.03119690994	-62119.30783324121	-79.72336366873088	-19708.15819143719	1.1735972484422637	1.9881349787764564	0.6812998229742867	1.3068351558021698	4	3	2	3	1	-20491.12818769894	0.8251758266066568	2.8316136583655767	1.2742834402728405	1.5573302180927362	2	2	4	3	1	-21920.021454105077	1.6697974904311257	17.029105733139247	5.257645908774729	11.771459824364513	32	17	12	41	1	1.0	1.267445091311014	1.350410128572895	1.0	4.335708652387948	1.582137946361397	1.0	1.267445091311014	1.350410128572895	1.0	4.335708652387948	1.582137946361397	1.0	1.267445091311014	1.350410128572895	1.0	4.335708652387948	1.582137946361397	4.148101522837576	0.4865787253486443	2.9147372417438224E-4	0.2676678974347722	0.25	0.2442898643499074	0.23804223821532042
35000	-62102.940150631046	-62016.98141413912	-85.9587364919271	-19677.858273460377	1.5169518471732215	2.8701299628722925	0.8091932003202836	2.060936762552009	3	2	2	3	1	-20455.494219884844	0.8389767511356317	3.222561649108145	0.6056028902165875	2.6169587588915575	6	3	1	6	1	-21883.6289207939	1.5847001514333563	17.195708741369703	4.998151429109634	12.197557312260072	28	17	16	37	1	1.0	0.7598265103494373	1.7759433538764724	1.0	6.257113607450417	1.9040347810066938	1.0	0.7598265103494373	1.7759433538764724	1.0	6.257113607450417	1.9040347810066938	1.0	0.7598265103494373	1.7759433538764724	1.0	6.257113607450417	1.9040347810066938	4.148101522837576	0.16655840719551288	2.871917875700966E-4	0.275512283192242	0.25	0.23657558312968482	0.2379121336780732
40000	-62101.89765127883	-62043.30903748522	-58.58861379361309	-19679.837734001034	0.9458057582033568	2.116510467640836	1.4341231684074567	0.6823872992333793	2	4	4	1	0	-20453.75269279993	0.445448071800278	1.4357203152921925	0.9190342841393632	0.5166860311528292	0	3	6	1	0	-21909.718610684256	1.6967000617363566	14.455653212271734	8.852881686142586	5.602771526129155	7	24	43	10	0	1.0	0.7960361556069289	1.9501964222121788	1.0	1.0591788449630013	3.765413624698806	1.0	0.7960361556069289	1.9501964222121788	1.0	1.0591788449630013	3.765413624698806	1.0	0.7960361556069289	1.9501964222121788	1.0	1.0591788449630013	3.765413624698806	4.863955235514873	0.07259587505219214	4.217426865847211E-4	0.25570859392515033	0.23721531276743618	0.2341027200738317	0.2729733732335818
45000	-62076.127639205	-61980.085241322864	-96.04239788213249	-19670.454857231372	0.9995067041146605	2.2225239175347826	0.4575274784968679	1.764996439037915	2	0	1	4	1	-20442.358815673568	1.0709572993279393	3.249706107826017	1.1584715859574723	2.0912345218685453	1	1	4	3	1	-21867.271568417927	1.7393945454226816	16.733691108819286	5.101754988585316	11.63193612023397	20	10	17	36	1	1.0	0.615312886764626	1.641072617684161	1.0	4.162516113556247	1.250968425800487	1.0	0.615312886764626	1.641072617684161	1.0	4.162516113556247	1.250968425800487	1.0	0.615312886764626	1.641072617684161	1.0	4.162516113556247	1.250968425800487	4.110383116846101	0.16655840719551288	2.80222054904518E-4	0.2781675978291103	0.25	0.2339202684928165	0.2379121336780732
