Sample	posterior	likelihood	prior	treeLikelihood.mumps-wa-clade-arkansas_10-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_10-2020-02-03	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_8-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_8-2020-02-03	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_69-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_69-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_69-2020-02-03	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_69-2020-02-03	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	kappa.s:mumps-wa-clade-arkansas_69-2020-02-03	gammaShape.s:mumps-wa-clade-arkansas_69-2020-02-03	clockRate.c:mumps-wa-clade-arkansas_69-2020-02-03	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-031	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-032	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-033	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-034
0	-63166.10316811265	-63021.09069280831	-145.01247530433778	-19923.85967157052	13.233090961056325	27.014632096169443	14.64792281175462	12.366709284414819	16	17	3	2	0	-20566.864558274145	2.5328189933674476	6.472968417758577	2.6717249695174266	3.8012434482411503	6	4	2	5	1	-22530.36646296365	10.21545419520372	35.593821265541315	19.22251819676358	16.371303068777735	14	15	27	26	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.170337777679052E-4	0.25	0.25	0.25	0.25
5000	-62483.62189564973	-62350.636827027745	-132.98506862198957	-19732.17562941546	1.9420903512510115	4.99019711140663	1.7048905366688702	3.285306574737759	4	2	1	4	1	-20488.05135692227	0.8733680577934233	4.435151808211924	0.3158515342967946	4.1193002739151305	5	1	0	7	1	-22130.409840690016	2.256520904280455	21.89429082948832	8.571408240829745	13.322882588658565	19	10	18	35	1	1.0	1.7657563678992854	1.3685742174020388	1.0	1.5185223110544355	0.6966787706916665	1.0	1.7657563678992854	1.3685742174020388	1.0	1.5185223110544355	0.6966787706916665	1.0	1.7657563678992854	1.3685742174020388	1.0	1.5185223110544355	0.6966787706916665	3.8415508529995024	1.0	3.1698470737446453E-4	0.25877076551394024	0.24122923448605973	0.24702940822593653	0.2529705917740635
10000	-62372.584364731	-62247.27428194754	-125.31008278346128	-19716.312875265172	1.0651386529819582	2.2464757263826085	0.479747177417186	1.766728548965422	2	0	1	4	1	-20479.127162091467	1.1475807691433249	4.627191393441969	0.9467113322627126	3.680480061179255	5	1	0	7	1	-22051.8342445909	1.9450145207999991	20.059830645511312	8.495196506370338	11.564634139140976	22	13	18	35	1	1.0	2.550779095405536	1.701118795090032	1.0	1.8262784254893956	0.7578677612952485	1.0	2.550779095405536	1.701118795090032	1.0	1.8262784254893956	0.7578677612952485	1.0	2.550779095405536	1.701118795090032	1.0	1.8262784254893956	0.7578677612952485	3.8415508529995024	0.8905213170614886	2.673467926694351E-4	0.2610569235767657	0.24122923448605973	0.24474325016311108	0.2529705917740635
15000	-62303.95169208726	-62178.753845499465	-125.19784658779696	-19712.388219893463	1.7171045585284967	3.968963133085865	1.7770735990073878	2.191889534078477	4	3	2	3	1	-20467.607704403934	1.0629399755860967	4.462307586651412	1.0824264574721072	3.3798811291793047	4	0	0	7	1	-21998.75792120207	1.7184244003331097	19.40777020289983	6.882845112040261	12.52492509085957	18	6	15	38	1	1.0	1.6886677973281818	1.3864707411514698	1.0	2.033028670537662	0.8811663678007764	1.0	1.6886677973281818	1.3864707411514698	1.0	2.033028670537662	0.8811663678007764	1.0	1.6886677973281818	1.3864707411514698	1.0	2.033028670537662	0.8811663678007764	3.8415508529995024	0.8905213170614886	2.9397394704957667E-4	0.2610569235767657	0.2491995592255283	0.2367729254236425	0.2529705917740635
20000	-62257.030242320485	-62145.62973100938	-111.40051131110653	-19715.62109986752	1.8102794252345173	5.089593516598744	0.8732590819295305	4.216334434669214	3	0	0	5	1	-20468.411922779287	0.6846497056474352	3.130376637000026	0.5208055009687089	2.6095711360313176	4	0	0	7	1	-21961.596708362573	1.4262860115510212	17.527453467581896	6.638453455266112	10.889000012315787	21	8	14	39	1	1.0	2.638012055170045	1.3901982824380388	1.0	2.8059631776610994	0.6614446460847236	1.0	2.638012055170045	1.3901982824380388	1.0	2.8059631776610994	0.6614446460847236	1.0	2.638012055170045	1.3901982824380388	1.0	2.8059631776610994	0.6614446460847236	6.040348295978981	0.8905213170614886	3.2575743905200583E-4	0.2610569235767657	0.2491995592255283	0.2367729254236425	0.2529705917740635
25000	-62243.655316670556	-62142.73085898346	-100.92445768710037	-19725.09193609633	1.5121045479847885	3.8355249456932508	1.5418257978543155	2.293699147838935	5	2	0	5	1	-20476.40979162425	0.9802373924680519	4.01044895202784	1.0779075544950207	2.9325413975328196	5	1	0	7	1	-21941.229131262873	1.315124554163056	15.238808771830143	7.053551970517356	8.18525680131279	14	9	21	32	0	1.0	1.3363257464110945	1.004406382955979	1.0	2.59832081909411	0.9737580712298175	1.0	1.3363257464110945	1.004406382955979	1.0	2.59832081909411	0.9737580712298175	1.0	1.3363257464110945	1.004406382955979	1.0	2.59832081909411	0.9737580712298175	5.1468228552788435	0.7898791714525476	3.1831520641761337E-4	0.25420610475484956	0.22999488825129466	0.24320507404998865	0.27259393294386713
30000	-62195.02524308299	-62091.73607601931	-103.28916706368122	-19704.929411092347	1.1398334185783596	2.885579529497158	0.43156248271843944	2.4540170467787186	4	1	0	5	1	-20461.092166239083	0.803455648809852	2.818760401819563	1.039670028030295	1.7790903737892683	3	1	1	6	0	-21925.714498687874	1.768514539905113	17.025034404517147	6.6263915389027535	10.398642865614397	19	13	21	32	1	1.0	1.1538746925015293	1.0025292311238017	1.0	2.6645134858821713	0.9182872065736248	1.0	1.1538746925015293	1.0025292311238017	1.0	2.6645134858821713	0.9182872065736248	1.0	1.1538746925015293	1.0025292311238017	1.0	2.6645134858821713	0.9182872065736248	3.1633716709130235	0.7898791714525476	3.0576488894603905E-4	0.25420610475484956	0.22999488825129466	0.23427458579863777	0.281524421195218
35000	-62105.008442063096	-62008.72087333869	-96.28756872441105	-19673.46807086595	1.071089629025104	1.969191226933856	0.7275697084352497	1.2416215184986066	1	1	3	2	1	-20433.745125206933	0.8927358444044744	3.722110733780207	0.6817094939122683	3.040401239867939	6	3	1	6	1	-21901.507677265807	1.2156302340090261	14.336257103336363	5.64678672490719	8.689470378429172	14	7	20	33	1	1.0	1.0430600715853302	0.7809028828422508	1.0	3.4043779664973766	1.1060042260181198	1.0	1.0430600715853302	0.7809028828422508	1.0	3.4043779664973766	1.1060042260181198	1.0	1.0430600715853302	0.7809028828422508	1.0	3.4043779664973766	1.1060042260181198	3.1633716709130235	0.5624053239870671	3.5483200510338356E-4	0.26242511273898134	0.22999488825129466	0.23305922228950132	0.2745207767202226
40000	-62040.95550109591	-61950.04476006985	-90.91074102605369	-19666.98866628471	1.197016002548663	2.581693945931965	0.9279216639753298	1.6537722819566356	5	4	1	4	0	-20421.922475761952	0.8579276061914634	4.375738061978019	1.1097021003721765	3.2660359616058416	3	0	1	6	1	-21861.13361802319	1.415574807148954	15.728701034010886	7.206746469424389	8.521954564586498	24	19	22	31	1	1.0	1.269108169688643	0.8794683858673211	1.0	3.444192590854633	1.6917009279071735	1.0	1.269108169688643	0.8794683858673211	1.0	3.444192590854633	1.6917009279071735	1.0	1.269108169688643	0.8794683858673211	1.0	3.444192590854633	1.6917009279071735	3.1633716709130235	0.5223329397392245	2.641916799036621E-4	0.26242511273898134	0.22999488825129466	0.22482576965951034	0.2827542293502136
45000	-62048.98753385915	-61911.770852892405	-137.21668096674918	-19661.05207966755	1.9997362044381417	4.860019916007834	3.591873337384026	1.2681465786238084	2	4	4	1	0	-20413.097659218824	1.144150814899228	4.440084888106134	3.8551939652130147	0.5848909228931196	0	4	7	0	0	-21837.62111400603	1.8717667967561629	23.24116883732015	13.90460327286456	9.336565564455592	8	23	41	12	0	1.0	2.0260051218426085	2.9562234029351697	1.0	0.4029776300333528	2.762003988887539	1.0	2.0260051218426085	2.9562234029351697	1.0	0.4029776300333528	2.762003988887539	1.0	2.0260051218426085	2.9562234029351697	1.0	0.4029776300333528	2.762003988887539	3.273606167906244	0.04509326633615622	1.7913117379576637E-4	0.27339016199881644	0.23834582530142176	0.2335773219138024	0.2546866907859594
