Sample	posterior	likelihood	prior	treeLikelihood.mumps-wa-clade-arkansas_10-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_10-2020-02-03	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_8-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_8-2020-02-03	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_69-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_69-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_69-2020-02-03	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_69-2020-02-03	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	kappa.s:mumps-wa-clade-arkansas_69-2020-02-03	gammaShape.s:mumps-wa-clade-arkansas_69-2020-02-03	clockRate.c:mumps-wa-clade-arkansas_69-2020-02-03	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-031	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-032	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-033	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-034
0	-63068.60174948448	-62943.11518331934	-125.48656616513551	-19882.43580956973	6.921978194534496	16.40442847820452	8.902687437961493	7.501741040243022	5	6	3	2	0	-20572.072398400072	2.5346589130077173	9.451637915567233	4.689599112561066	4.762038803006167	5	6	5	2	1	-22488.60697534954	9.672517133383762	30.757788840018947	16.78877975037453	13.969009089644413	13	17	30	23	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.17E-4	0.25	0.25	0.25	0.25
5000	-62464.261236312595	-62329.35534360586	-134.90589270673843	-19776.09467140889	1.122182432660142	2.770538753235667	0.7203174298593583	2.0502213233763085	3	0	0	5	1	-20536.766640678237	0.9129328872466954	3.692277335416441	0.970562181583372	2.721715153833069	3	0	1	6	1	-22016.494031518723	1.8114196442170274	19.987345942160474	8.768362446010535	11.218983496149937	15	14	26	27	1	1.0	1.1431285408339533	1.0629392126897694	1.0	1.9608836956256988	1.0253887148334486	1.0	1.1431285408339533	1.0629392126897694	1.0	1.9608836956256988	1.0253887148334486	1.0	1.1431285408339533	1.0629392126897694	1.0	1.9608836956256988	1.0253887148334486	2.0	0.6444085500604779	2.7580183480295305E-4	0.25067521145482397	0.25	0.25	0.24932478854517606
10000	-62236.969886658815	-62123.74033580591	-113.22955085290725	-19732.350240992826	1.406270571130708	3.121976526691909	1.4756106987435693	1.6463658279483393	2	2	3	2	1	-20490.752874761234	0.9789263309731593	3.4347325589960107	2.058652140822343	1.3760804181736677	4	3	3	4	1	-21900.63722005185	1.6467855383771404	18.59491374588404	9.23992685432954	9.354986891554496	18	15	23	30	0	1.0	1.4667820775956006	1.1087522894742499	1.0	1.616923116665206	2.02760166375913	1.0	1.4667820775956006	1.1087522894742499	1.0	1.616923116665206	2.02760166375913	1.0	1.4667820775956006	1.1087522894742499	1.0	1.616923116665206	2.02760166375913	2.0	0.31822681974477585	2.7708358389803844E-4	0.25867248569058954	0.25	0.24200272576423446	0.24932478854517606
15000	-62102.6833885134	-61993.79448580703	-108.88890270636425	-19703.364244004675	1.5210260937139606	3.1880991682414708	1.5225521681712966	1.6655470000701742	7	6	2	3	1	-20463.308806845	0.9429770812743753	4.12892635909806	1.9830121805298813	2.1459141785681783	7	4	1	6	1	-21827.12143495736	1.623456708298783	19.44699497446299	10.071872104567069	9.375122869895922	23	23	27	26	1	1.0	2.0649195178296775	1.1073257126938194	1.0	2.4581088764401606	1.946666237639319	1.0	2.0649195178296775	1.1073257126938194	1.0	2.4581088764401606	1.946666237639319	1.0	2.0649195178296775	1.1073257126938194	1.0	2.4581088764401606	1.946666237639319	3.7895180067581387	0.39518774409676716	2.1114241655894965E-4	0.27041724745518014	0.25	0.2384471211306866	0.2411356314141333
20000	-62056.10615620711	-61969.52274031431	-86.583415892805	-19691.538025551916	1.0853067657927908	2.755983067736846	1.637229556637324	1.1187535110995221	3	5	4	1	0	-20451.275034202354	0.7943049824891744	3.1147166597166382	2.4915173978364606	0.6231992618801783	0	4	7	0	0	-21826.709680560038	1.5494373831763044	17.437405793896566	7.555282136895826	9.88212365700074	16	24	35	18	1	1.0	0.804077837081865	2.065938829885723	1.0	1.9181025601976436	2.8427276233222334	1.0	0.804077837081865	2.065938829885723	1.0	1.9181025601976436	2.8427276233222334	1.0	0.804077837081865	2.065938829885723	1.0	1.9181025601976436	2.8427276233222334	5.033562115989509	0.5731672602707256	2.586150670102509E-4	0.26181441861326	0.23644638397887174	0.24009853463490233	0.2616406627729659
25000	-61977.82796211365	-61865.82983792886	-111.99812418479178	-19646.054809283163	1.8613364642611279	3.8228282730277927	2.8959555593875144	0.9268727136402786	3	6	5	0	0	-20398.554044925142	1.2239312710148236	4.956048834296183	3.9334752190529154	1.0225736152432676	1	5	7	0	0	-21821.220983720552	1.7003999672604562	19.531553720455946	11.832991252299994	7.69856246815596	7	25	44	9	0	1.0	1.6972563278525157	2.394794833409929	1.0	1.017129786807919	3.4325509682255193	1.0	1.6972563278525157	2.394794833409929	1.0	1.017129786807919	3.4325509682255193	1.0	1.6972563278525157	2.394794833409929	1.0	1.017129786807919	3.4325509682255193	5.036895828403864	1.0	2.6022280319758337E-4	0.2743428556382344	0.24527251597329747	0.21980710903301104	0.2605775193554571
30000	-61930.124744963745	-61863.06512888988	-67.05961607386277	-19668.16626260195	1.2032397262378114	2.9171347648827943	0.7276161774008043	2.1895185874819902	6	5	1	4	0	-20425.07662883774	1.0895136467613697	4.403620212964727	1.0027889137461958	3.40083129921853	12	8	0	7	1	-21769.82223745019	1.5766885236256047	19.71983457456625	10.30646694717792	9.413367627388329	37	36	26	27	1	1.0	1.4660887409002832	1.1622750174046077	1.0	4.1878401628572615	2.9480938837216315	1.0	1.4660887409002832	1.1622750174046077	1.0	4.1878401628572615	2.9480938837216315	1.0	1.4660887409002832	1.1622750174046077	1.0	4.1878401628572615	2.9480938837216315	3.811902950043475	0.3604932292306071	2.335981796446199E-4	0.27978058384439153	0.24063666361078861	0.2358582971295339	0.243724455415286
35000	-62033.040789515915	-61844.33728435132	-188.7035051645942	-19650.331896654385	2.7179953944084025	7.894874776170511	1.4630558935090474	6.4318188826614655	5	2	0	5	1	-20406.394225971177	2.966863346434529	10.568112595169449	3.063298101986258	7.504814493183189	7	4	1	6	1	-21787.611161725752	3.5466848719880675	34.20807010111677	13.584569806470652	20.62350029464613	15	13	25	28	1	1.0	3.750879070609567	3.4056518671252984	1.0	1.3062990715648344	0.5419490691934636	1.0	3.750879070609567	3.4056518671252984	1.0	1.3062990715648344	0.5419490691934636	1.0	3.750879070609567	3.4056518671252984	1.0	1.3062990715648344	0.5419490691934636	5.302685717054347	0.819841361827335	1.3600063769002738E-4	0.276299454880727	0.2301050421133792	0.23517719573323878	0.2584183072726551
40000	-61857.2577956923	-61783.96110505944	-73.29669063286046	-19642.142310987445	1.3534184271440617	3.917430461337223	1.345371253627686	2.572059207709537	8	5	0	5	1	-20396.744158610978	0.9332058371031079	3.7650385462399143	1.3841321260111086	2.380906420228806	6	4	2	5	1	-21745.07463546102	2.2207415905217505	20.759113602877456	8.84757548398385	11.911538118893606	41	33	19	34	1	1.0	2.7061643371073796	0.9374839437634245	1.0	4.177570434584068	2.3077972852354063	1.0	2.7061643371073796	0.9374839437634245	1.0	4.177570434584068	2.3077972852354063	1.0	2.7061643371073796	0.9374839437634245	1.0	4.177570434584068	2.3077972852354063	3.811902950043475	0.16833953391873308	2.3842693023887033E-4	0.27978058384439153	0.24648351116077558	0.22114299120619926	0.2525929137886337
45000	-61814.33854959034	-61755.400450749876	-58.93809884046723	-19632.87728188365	1.723201944535913	4.369899292929051	1.6813358907654887	2.6885634021635623	9	6	0	5	1	-20385.573307082486	0.7584774483812731	2.901865089414854	0.9611522665574519	1.9407128228574018	5	2	1	6	1	-21736.949861783738	1.8359359327631826	18.961316173145462	9.811595643413625	9.149720529731837	37	30	20	33	1	1.0	2.2751010161957077	0.7383161569295275	1.0	3.795514428694926	2.669260136095186	1.0	2.2751010161957077	0.7383161569295275	1.0	3.795514428694926	2.669260136095186	1.0	2.2751010161957077	0.7383161569295275	1.0	3.795514428694926	2.669260136095186	4.127361028996459	0.15965665453090133	2.4371151064161374E-4	0.27978058384439153	0.24648351116077558	0.21651200919025454	0.2572238958045784
