# BEAST v1.8.4
# Generated Tue Jan 21 10:44:43 PST 2020 [seed=1579632280352]
# mumps-NA-DTA-skygrid-25-2020-01-16.xml
state	division
3050000	"new_jersey"
3060000	"indiana"
3070000	"louisiana"
3080000	"louisiana"
3090000	"wisconsin"
3100000	"ohio"
3110000	"pennsylvania"
3120000	"new_york"
3130000	"ontario"
3140000	"massachusetts"
3150000	"massachusetts"
3160000	"illinois"
3170000	"illinois"
3180000	"iowa"
3190000	"georgia"
3200000	"ontario"
3210000	"north_carolina"
3220000	"texas"
3230000	"virginia"
3240000	"british_columbia"
3250000	"iowa"
3260000	"washington"
3270000	"north_carolina"
3280000	"wisconsin"
3290000	"north_carolina"
3300000	"virginia"
3310000	"indiana"
3320000	"kansas"
3330000	"virginia"
3340000	"kansas"
3350000	"kansas"
3360000	"kansas"
3370000	"north_dakota"
3380000	"washington"
3390000	"massachusetts"
3400000	"new_york"
3410000	"iowa"
3420000	"wisconsin"
3430000	"montana"
3440000	"arkansas"
3450000	"north_carolina"
3460000	"illinois"
3470000	"new_jersey"
3480000	"texas"
3490000	"arkansas"
3500000	"wisconsin"
3510000	"iowa"
3520000	"ontario"
3530000	"manitoba"
3540000	"arkansas"
3550000	"michigan"
3560000	"indiana"
3570000	"missouri"
3580000	"missouri"
3590000	"arkansas"
3600000	"manitoba"
3610000	"north_carolina"
3620000	"arkansas"
3630000	"north_carolina"
3640000	"manitoba"
3650000	"new_jersey"
3660000	"manitoba"
3670000	"manitoba"
3680000	"new_york"
3690000	"texas"
3700000	"new_york"
3710000	"arkansas"
3720000	"louisiana"
3730000	"alabama"
3740000	"kansas"
3750000	"washington"
3760000	"new_york"
3770000	"virginia"
3780000	"california"
3790000	"british_columbia"
3800000	"pennsylvania"
3810000	"wisconsin"
3820000	"ontario"
3830000	"virginia"
3840000	"washington"
3850000	"washington"
3860000	"iowa"
3870000	"pennsylvania"
3880000	"california"
3890000	"new_york"
3900000	"new_york"
3910000	"montana"
3920000	"ontario"
3930000	"washington"
3940000	"wisconsin"
3950000	"washington"
3960000	"michigan"
3970000	"massachusetts"
3980000	"pennsylvania"
3990000	"missouri"
4000000	"arkansas"
4010000	"california"
4020000	"north_carolina"
4030000	"texas"
4040000	"illinois"
4050000	"iowa"
4060000	"pennsylvania"
4070000	"new_jersey"
4080000	"arkansas"
4090000	"arkansas"
4100000	"ohio"
4110000	"arkansas"
4120000	"california"
4130000	"new_york"
4140000	"indiana"
4150000	"massachusetts"
4160000	"missouri"
4170000	"washington"
4180000	"texas"
4190000	"indiana"
4200000	"british_columbia"
4210000	"missouri"
4220000	"louisiana"
4230000	"arkansas"
4240000	"north_dakota"
4250000	"kansas"
4260000	"arkansas"
4270000	"kansas"
4280000	"british_columbia"
4290000	"north_dakota"
4300000	"washington"
4310000	"north_dakota"
4320000	"new_jersey"
4330000	"missouri"
4340000	"arkansas"
4350000	"alabama"
4360000	"kansas"
4370000	"new_jersey"
4380000	"new_jersey"
4390000	"new_jersey"
4400000	"washington"
4410000	"manitoba"
4420000	"north_carolina"
4430000	"pennsylvania"
4440000	"alabama"
4450000	"pennsylvania"
4460000	"california"
4470000	"british_columbia"
4480000	"arkansas"
4490000	"wisconsin"
4500000	"north_carolina"
4510000	"manitoba"
4520000	"virginia"
4530000	"north_carolina"
4540000	"missouri"
4550000	"ohio"
4560000	"pennsylvania"
4570000	"new_hampshire"
4580000	"kansas"
4590000	"kansas"
4600000	"virginia"
4610000	"washington"
4620000	"indiana"
4630000	"virginia"
4640000	"indiana"
4650000	"ohio"
4660000	"new_jersey"
4670000	"indiana"
4680000	"manitoba"
4690000	"california"
4700000	"new_hampshire"
4710000	"iowa"
4720000	"wisconsin"
4730000	"new_jersey"
4740000	"north_dakota"
4750000	"indiana"
