state	number_transitions
tree STATE_10000000	14
tree STATE_10010000	12
tree STATE_10020000	14
tree STATE_10030000	14
tree STATE_10040000	13
tree STATE_10050000	13
tree STATE_10060000	12
tree STATE_10070000	13
tree STATE_10080000	13
tree STATE_10090000	13
tree STATE_10100000	13
tree STATE_10110000	14
tree STATE_10120000	13
tree STATE_10130000	12
tree STATE_10140000	12
tree STATE_10150000	13
tree STATE_10160000	12
tree STATE_10170000	12
tree STATE_10180000	12
tree STATE_10190000	12
tree STATE_10200000	12
tree STATE_10210000	13
tree STATE_10220000	13
tree STATE_10230000	11
tree STATE_10240000	13
tree STATE_10250000	13
tree STATE_10260000	13
tree STATE_10270000	14
tree STATE_10280000	15
tree STATE_10290000	15
tree STATE_10300000	15
tree STATE_10310000	13
tree STATE_10320000	14
tree STATE_10330000	14
tree STATE_10340000	15
tree STATE_10350000	14
tree STATE_10360000	14
tree STATE_10370000	14
tree STATE_10380000	15
tree STATE_10390000	14
tree STATE_10400000	13
tree STATE_10410000	13
tree STATE_10420000	13
tree STATE_10430000	13
tree STATE_10440000	12
tree STATE_10450000	13
tree STATE_10460000	15
tree STATE_10470000	12
tree STATE_10480000	13
tree STATE_10490000	13
tree STATE_10500000	13
tree STATE_10510000	13
tree STATE_10520000	13
tree STATE_10530000	13
tree STATE_10540000	13
tree STATE_10550000	13
tree STATE_10560000	12
tree STATE_10570000	14
tree STATE_10580000	16
tree STATE_10590000	15
tree STATE_10600000	15
tree STATE_10610000	14
tree STATE_10620000	13
tree STATE_10630000	13
tree STATE_10640000	14
tree STATE_10650000	14
tree STATE_10660000	14
tree STATE_10670000	12
tree STATE_10680000	14
tree STATE_10690000	14
tree STATE_10700000	17
tree STATE_10710000	15
tree STATE_10720000	13
tree STATE_10730000	14
tree STATE_10740000	14
tree STATE_10750000	13
tree STATE_10760000	13
tree STATE_10770000	13
tree STATE_10780000	13
tree STATE_10790000	13
tree STATE_10800000	14
tree STATE_10810000	14
tree STATE_10820000	14
tree STATE_10830000	14
tree STATE_10840000	12
tree STATE_10850000	13
tree STATE_10860000	13
tree STATE_10870000	11
tree STATE_10880000	14
tree STATE_10890000	13
tree STATE_10900000	13
tree STATE_10910000	15
tree STATE_10920000	13
tree STATE_10930000	13
tree STATE_10940000	13
tree STATE_10950000	12
tree STATE_10960000	13
tree STATE_10970000	13
tree STATE_10980000	12
tree STATE_10990000	13
tree STATE_11000000	13
tree STATE_11010000	14
tree STATE_11020000	16
tree STATE_11030000	13
tree STATE_11040000	16
tree STATE_11050000	14
tree STATE_11060000	14
tree STATE_11070000	13
tree STATE_11080000	14
tree STATE_11090000	13
tree STATE_11100000	12
tree STATE_11110000	13
tree STATE_11120000	14
tree STATE_11130000	13
tree STATE_11140000	13
tree STATE_11150000	13
tree STATE_11160000	13
tree STATE_11170000	13
tree STATE_11180000	13
tree STATE_11190000	14
tree STATE_11200000	15
tree STATE_11210000	15
tree STATE_11220000	15
tree STATE_11230000	16
tree STATE_11240000	17
tree STATE_11250000	15
tree STATE_11260000	15
tree STATE_11270000	15
tree STATE_11280000	14
tree STATE_11290000	14
tree STATE_11300000	14
tree STATE_11310000	14
tree STATE_11320000	13
tree STATE_11330000	13
tree STATE_11340000	14
tree STATE_11350000	14
tree STATE_11360000	14
tree STATE_11370000	15
tree STATE_11380000	15
tree STATE_11390000	15
tree STATE_11400000	18
tree STATE_11410000	12
tree STATE_11420000	14
tree STATE_11430000	13
tree STATE_11440000	13
tree STATE_11450000	15
tree STATE_11460000	16
tree STATE_11470000	14
tree STATE_11480000	12
tree STATE_11490000	16
tree STATE_11500000	15
tree STATE_11510000	14
tree STATE_11520000	14
tree STATE_11530000	13
tree STATE_11540000	13
tree STATE_11550000	12
tree STATE_11560000	13
tree STATE_11570000	13
tree STATE_11580000	13
tree STATE_11590000	13
tree STATE_11600000	13
tree STATE_11610000	14
tree STATE_11620000	14
tree STATE_11630000	13
tree STATE_11640000	13
tree STATE_11650000	13
tree STATE_11660000	13
tree STATE_11670000	12
tree STATE_11680000	13
tree STATE_11690000	13
tree STATE_11700000	14
tree STATE_11710000	15
tree STATE_11720000	15
tree STATE_11730000	16
tree STATE_11740000	15
tree STATE_11750000	16
tree STATE_11760000	15
tree STATE_11770000	15
tree STATE_11780000	15
tree STATE_11790000	14
tree STATE_11800000	14
tree STATE_11810000	15
tree STATE_11820000	14
tree STATE_11830000	16
tree STATE_11840000	14
tree STATE_11850000	15
tree STATE_11860000	15
tree STATE_11870000	15
tree STATE_11880000	15
tree STATE_11890000	14
tree STATE_11900000	13
tree STATE_11910000	13
tree STATE_11920000	14
tree STATE_11930000	14
tree STATE_11940000	14
tree STATE_11950000	14
tree STATE_11960000	14
tree STATE_11970000	13
tree STATE_11980000	16
tree STATE_11990000	16
tree STATE_12000000	14
tree STATE_12010000	12
tree STATE_12020000	14
tree STATE_12030000	14
tree STATE_12040000	14
tree STATE_12050000	12
tree STATE_12060000	12
tree STATE_12070000	13
tree STATE_12080000	13
tree STATE_12090000	14
tree STATE_12100000	14
tree STATE_12110000	12
tree STATE_12120000	11
tree STATE_12130000	13
tree STATE_12140000	14
tree STATE_12150000	11
tree STATE_12160000	12
tree STATE_12170000	14
tree STATE_12180000	14
tree STATE_12190000	13
tree STATE_12200000	13
tree STATE_12210000	13
tree STATE_12220000	14
tree STATE_12230000	14
tree STATE_12240000	14
tree STATE_12250000	14
tree STATE_12260000	13
tree STATE_12270000	15
tree STATE_12280000	12
tree STATE_12290000	11
tree STATE_12300000	13
tree STATE_12310000	13
tree STATE_12320000	13
tree STATE_12330000	13
tree STATE_12340000	14
tree STATE_12350000	14
tree STATE_12360000	14
tree STATE_12370000	15
tree STATE_12380000	13
tree STATE_12390000	15
tree STATE_12400000	15
tree STATE_12410000	15
tree STATE_12420000	13
tree STATE_12430000	15
tree STATE_12440000	15
tree STATE_12450000	14
tree STATE_12460000	12
tree STATE_12470000	12
tree STATE_12480000	13
tree STATE_12490000	14
tree STATE_12500000	13
tree STATE_12510000	14
tree STATE_12520000	13
