state	number_transitions
tree STATE_17540000	14
tree STATE_17550000	13
tree STATE_17560000	13
tree STATE_17570000	13
tree STATE_17580000	14
tree STATE_17590000	12
tree STATE_17600000	13
tree STATE_17610000	13
tree STATE_17620000	13
tree STATE_17630000	12
tree STATE_17640000	13
tree STATE_17650000	13
tree STATE_17660000	13
tree STATE_17670000	13
tree STATE_17680000	13
tree STATE_17690000	13
tree STATE_17700000	13
tree STATE_17710000	14
tree STATE_17720000	14
tree STATE_17730000	13
tree STATE_17740000	13
tree STATE_17750000	13
tree STATE_17760000	10
tree STATE_17770000	13
tree STATE_17780000	14
tree STATE_17790000	14
tree STATE_17800000	15
tree STATE_17810000	19
tree STATE_17820000	15
tree STATE_17830000	15
tree STATE_17840000	11
tree STATE_17850000	12
tree STATE_17860000	14
tree STATE_17870000	13
tree STATE_17880000	12
tree STATE_17890000	12
tree STATE_17900000	12
tree STATE_17910000	12
tree STATE_17920000	12
tree STATE_17930000	12
tree STATE_17940000	14
tree STATE_17950000	12
tree STATE_17960000	12
tree STATE_17970000	12
tree STATE_17980000	14
tree STATE_17990000	14
tree STATE_18000000	12
tree STATE_18010000	12
tree STATE_18020000	13
tree STATE_18030000	14
tree STATE_18040000	15
tree STATE_18050000	17
tree STATE_18060000	15
tree STATE_18070000	17
tree STATE_18080000	13
tree STATE_18090000	16
tree STATE_18100000	14
tree STATE_18110000	11
tree STATE_18120000	13
tree STATE_18130000	11
tree STATE_18140000	14
tree STATE_18150000	14
tree STATE_18160000	12
tree STATE_18170000	12
tree STATE_18180000	13
tree STATE_18190000	13
tree STATE_18200000	13
tree STATE_18210000	12
tree STATE_18220000	13
tree STATE_18230000	11
tree STATE_18240000	11
tree STATE_18250000	11
tree STATE_18260000	11
tree STATE_18270000	11
tree STATE_18280000	11
tree STATE_18290000	11
tree STATE_18300000	13
tree STATE_18310000	12
tree STATE_18320000	12
tree STATE_18330000	11
tree STATE_18340000	14
tree STATE_18350000	12
tree STATE_18360000	11
tree STATE_18370000	17
tree STATE_18380000	13
tree STATE_18390000	13
tree STATE_18400000	13
tree STATE_18410000	14
tree STATE_18420000	15
tree STATE_18430000	16
tree STATE_18440000	14
tree STATE_18450000	16
tree STATE_18460000	14
tree STATE_18470000	14
tree STATE_18480000	14
tree STATE_18490000	13
tree STATE_18500000	11
tree STATE_18510000	15
tree STATE_18520000	15
tree STATE_18530000	12
tree STATE_18540000	13
tree STATE_18550000	13
tree STATE_18560000	13
tree STATE_18570000	13
tree STATE_18580000	13
tree STATE_18590000	13
tree STATE_18600000	13
tree STATE_18610000	14
tree STATE_18620000	14
tree STATE_18630000	16
tree STATE_18640000	12
tree STATE_18650000	11
tree STATE_18660000	13
tree STATE_18670000	12
tree STATE_18680000	12
tree STATE_18690000	11
tree STATE_18700000	16
