Sample	posterior	likelihood	prior	treeLikelihood.mumps-wa-clade-arkansas_10-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_10-2020-02-03	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_10-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_10-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_8-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_8-2020-02-03	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_8-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_8-2020-02-03	treeLikelihood.mumps-wa-clade-arkansas_69-2020-02-03	treeHeight.t:mumps-wa-clade-arkansas_69-2020-02-03	treeLength.t:mumps-wa-clade-arkansas_69-2020-02-03	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.length_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese_to_Not_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese_to_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Marshallese	Tree.t:mumps-wa-clade-arkansas_69-2020-02-03.count_Not_Marshallese	rootTypeLogger.t:mumps-wa-clade-arkansas_69-2020-02-03	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_10-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_8-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSizeScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.popSize_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrixScaleFactor	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Marshallese_Not_Marshallese	migModel.t:mumps-wa-clade-arkansas_69-2020-02-03.rateMatrix_Not_Marshallese_Marshallese	kappa.s:mumps-wa-clade-arkansas_69-2020-02-03	gammaShape.s:mumps-wa-clade-arkansas_69-2020-02-03	clockRate.c:mumps-wa-clade-arkansas_69-2020-02-03	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-031	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-032	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-033	freqParameter.s:mumps-wa-clade-arkansas_69-2020-02-034	
0	-61617.707629025936	-61656.38395815453	38.67632912859679	-19590.25683692839	0.7765808795215714	1.3106504913699246	1.1105399413155863	0.2001105500543381	1	4	5	0	0	-20345.592906486483	0.6504612084094745	2.3084099200205177	1.7556472641285046	0.5527626558920131	3	7	7	0	0	-21720.53421473966	0.9376806505085827	6.9185096977217135	3.7871915125036577	3.1313181852180563	3	21	44	9	0	1.0	0.20618781027630123	0.7997651658012739	1.0	1.0238267502013974	5.751484316767591	1.0	0.20618781027630123	0.7997651658012739	1.0	1.0238267502013974	5.751484316767591	1.0	0.20618781027630123	0.7997651658012739	1.0	1.0238267502013974	5.751484316767591	4.097346264735453	0.8514553042328192	6.872585853066411E-4	0.30512919080003353	0.2198295391039838	0.20283597963280886	0.27220529046317354	
5000	-61619.13728577946	-61646.49178977961	27.35450400014728	-19590.184988836056	1.232577162602363	2.1007073019375873	2.0587737086421694	0.04193359329541785	0	3	5	0	0	-20340.15212837071	0.43565414909289385	1.350036255010061	1.0543770323623227	0.29565922264773836	0	3	6	1	0	-21716.154672572848	0.8759957904489086	6.975974498225832	3.8995789271186307	3.076395571107202	3	21	44	9	0	1.0	0.2081449941790272	0.4019111689055846	1.0	1.0712958774229113	6.638059971499463	1.0	0.2081449941790272	0.4019111689055846	1.0	1.0712958774229113	6.638059971499463	1.0	0.2081449941790272	0.4019111689055846	1.0	1.0712958774229113	6.638059971499463	4.097346264735453	0.7288076852600309	6.111979931137863E-4	0.30512919080003353	0.2198295391039838	0.20283597963280886	0.27220529046317354	
10000	-61603.64701135656	-61644.75307579409	41.10606443753464	-19587.34920642213	0.8869341638276951	1.3849669882006173	1.3005298945940056	0.08443709360661159	0	3	5	0	0	-20340.969684801286	0.5751482338998254	1.6873253244911277	1.2178414928912982	0.4694838315998296	0	3	6	1	0	-21716.434184570673	0.887546911349827	6.690629583373208	3.4191949421965058	3.271434641176703	4	23	45	8	0	1.0	0.20915268184675936	0.678827149400329	1.0	0.9579129917255382	6.339572951099169	1.0	0.20915268184675936	0.678827149400329	1.0	0.9579129917255382	6.339572951099169	1.0	0.20915268184675936	0.678827149400329	1.0	0.9579129917255382	6.339572951099169	4.097346264735453	0.604124575671891	6.389182842910872E-4	0.30512919080003353	0.2198295391039838	0.20283597963280886	0.27220529046317354	
15000	-61601.94378743927	-61653.666701799055	51.722914359785236	-19588.569206537588	0.8683307336105176	1.2830509365475145	0.9422483270733133	0.34080260947420127	0	3	5	0	0	-20342.976098350944	0.6838633409731053	1.6779825328972415	1.2260669354655747	0.4519155974316672	1	5	7	0	0	-21722.12139691052	1.1360556439926146	7.2092241478154175	3.9377428309079816	3.271481316907435	4	24	46	7	0	1.0	0.15939246110291838	1.2962242722122592	1.0	0.8486606207435419	5.772972156738185	1.0	0.15939246110291838	1.2962242722122592	1.0	0.8486606207435419	5.772972156738185	1.0	0.15939246110291838	1.2962242722122592	1.0	0.8486606207435419	5.772972156738185	3.2578694390226137	0.8312864534642626	6.315801990357237E-4	0.30512919080003353	0.2198295391039838	0.20283597963280886	0.27220529046317354	
20000	-61605.731648522815	-61653.019399650235	47.287751127421075	-19591.21941778505	0.8232001150693249	1.5740153821751204	1.256999478116969	0.31701590405815144	0	3	5	0	0	-20341.16515527815	0.47295621215609385	1.53629653977183	1.010673962347778	0.5256225774240518	0	4	7	0	0	-21720.63482658704	1.0388682698118852	7.154377218821342	3.9270926063808993	3.227284612440441	5	25	46	7	0	1.0	0.15901092745878148	1.5516521603417215	1.0	1.027214171563264	6.72539475933031	1.0	0.15901092745878148	1.5516521603417215	1.0	1.027214171563264	6.72539475933031	1.0	0.15901092745878148	1.5516521603417215	1.0	1.027214171563264	6.72539475933031	3.2578694390226137	0.8312864534642626	6.702346479324342E-4	0.30512919080003353	0.2198295391039838	0.20283597963280886	0.27220529046317354	
25000	-61632.095546601995	-61649.608433712	17.512887110002037	-19588.492372762095	0.8753284612183992	1.543429162648866	1.1291297743962594	0.41429938825260626	0	2	4	1	0	-20341.997306119167	0.4893181322738045	1.607537527729295	1.2486799703451208	0.35885755738417463	1	4	6	1	0	-21719.118754830735	0.8707479578952445	6.65485195631993	4.58821119726618	2.0666407590537514	2	20	44	9	0	1.0	0.3289880531162363	0.4030212990376947	1.0	0.5444958929204436	9.185434512105436	1.0	0.3289880531162363	0.4030212990376947	1.0	0.5444958929204436	9.185434512105436	1.0	0.3289880531162363	0.4030212990376947	1.0	0.5444958929204436	9.185434512105436	5.234029617746938	1.3514980070036025	6.948979958754836E-4	0.30621390247131314	0.22160668426662003	0.20291434236417763	0.2692650708978893	
30000	-61606.897587895524	-61646.69244122326	39.79485332773679	-19587.080930169654	0.832705047758271	1.26079242149199	1.2098120948741866	0.050980326617803266	2	5	5	0	0	-20341.40360192951	0.4601580419878454	1.5244796473169682	1.1103675421792347	0.41411210513773355	0	4	7	0	0	-21718.207909124096	0.8538999564844749	6.79661393433616	4.502255914111422	2.2943580202247373	1	24	49	4	0	1.0	0.32639679555104384	0.7545493835265352	1.0	0.48074072177328925	9.258357491109834	1.0	0.32639679555104384	0.7545493835265352	1.0	0.48074072177328925	9.258357491109834	1.0	0.32639679555104384	0.7545493835265352	1.0	0.48074072177328925	9.258357491109834	5.234029617746938	1.3514980070036025	7.563466138692106E-4	0.30621390247131314	0.22160668426662003	0.20291434236417763	0.2692650708978893	
35000	-61626.35835148051	-61654.30854646713	27.95019498662628	-19589.510844735323	0.8784911797499113	1.458322719321255	1.115349748554097	0.34297297076715805	1	4	5	0	0	-20339.483963260955	0.5861588797233085	1.7808752439042352	1.341281446886949	0.4395937970172863	1	5	7	0	0	-21725.313738470853	0.8994730690366557	7.7868569978047315	4.384092632978357	3.402764364826372	4	26	48	5	0	1.0	0.26293499267868997	2.231997455555592	1.0	0.29567465167870705	6.839253517416425	1.0	0.26293499267868997	2.231997455555592	1.0	0.29567465167870705	6.839253517416425	1.0	0.26293499267868997	2.231997455555592	1.0	0.29567465167870705	6.839253517416425	3.4027331329079544	0.8312864534642626	5.364548685971078E-4	0.30512919080003353	0.2198295391039838	0.20283597963280886	0.27220529046317354	
40000	-61604.51094980281	-61646.07518976749	41.56423996468474	-19588.61070705444	0.9308835506648058	1.8088109498655478	1.6332450485192198	0.17556590134632785	0	3	5	0	0	-20336.303107516505	0.502218634450431	1.3148065546739423	0.8589740037666447	0.45583255090729746	2	6	7	0	0	-21721.16137519655	0.9235275329870049	7.643785897252336	4.027099848427331	3.616686048825007	6	30	50	3	0	1.0	0.25701474691566195	3.7980961933130826	1.0	1.1188013319489916	9.528803144457033	1.0	0.25701474691566195	3.7980961933130826	1.0	1.1188013319489916	9.528803144457033	1.0	0.25701474691566195	3.7980961933130826	1.0	1.1188013319489916	9.528803144457033	5.3471944681317805	0.8312864534642626	5.249579798303745E-4	0.3102891625885278	0.21927994993752897	0.20283597963280886	0.2675949078411341	
45000	-61606.262678946965	-61639.48161556264	33.21893661567622	-19587.26771568683	0.9142561858661343	1.5156739981721976	1.2232797247109208	0.29239427346127667	1	4	5	0	0	-20335.83517283835	0.4450138280764789	1.4940788297012217	1.2118814581473987	0.2821973715538232	2	6	7	0	0	-21716.37872703746	0.8759398701810069	7.800703018991413	4.637113076417146	3.1635899425742693	5	29	50	3	0	1.0	0.31558819220070633	1.89490788597942	1.0	1.1483293030972064	8.210342723299778	1.0	0.31558819220070633	1.89490788597942	1.0	1.1483293030972064	8.210342723299778	1.0	0.31558819220070633	1.89490788597942	1.0	1.1483293030972064	8.210342723299778	5.3471944681317805	0.09001106573180105	6.584895435812657E-4	0.3102891625885278	0.21927994993752897	0.20283597963280886	0.2675949078411341	
